hash,block_number,base_fee_wei,max_fee_wei,max_priority_fee_wei,gas_limit,gas_price_wei
7e79a101c85a66c2b3800f746ea2a80274745d7bbcde1380e0d5c72ac899c419,24816330,114550150,171825225.0,0.0,256086,114550150
432d00cbe3a51a2f83f57a18f0edc718b5a7b8ac60536fbc1756cb41ced8a214,24816329,105757308,2199596050.0,2000000000.0,1021358,2105757308
cb66ae76dfc36c8a4c3954893d19db11de1de6d61962ca0e77b4b967ab13d2e4,24816328,107696691,107696692.0,1.0,626633,107696692
5c1496b5b512e6e0ebfd7318b5b4bcb636c71a933d44a615138d80f13552b150,24816327,110199573,199646052.0,0.0,469419,110199573
e0c0c32753b8b1dc856c71b672bcf2cb339eb80fbaa70081e797cf8ae414b303,24816326,99798025,2204047013.0,1000000000.0,25000,1099798025
342b26a8cb25e2fab8c3c97c8d1adccd1aa682882f98406a8f6873198d86793a,24816325,92486233,138729349.0,0.0,251246,92486233
fa57618548fbb98a86e384e62a0b8e91675f16540637b8618d347084e6f03bfd,24816324,102630928,183111370.0,0.0,448787,102630928
73d672da8c4267d5bfadcc4a2e5dbc905228289acec1bd327e3433fddb1c5e68,24816323,91505685,18227242026.0,18135736341.0,234940,18227242026
4c588ee322b079256bd4120b0670f11930e78de04d86681e9c5956969d6ef7f4,24816322,90191146,193637106.0,0.0,449781,90191146
b326fca1fe05fe8820cd7924e3c76885e6c68ffc786d4df5c5a5a58ff0f479bd,24816321,94068553,5000000000.0,1.0,1000000,94068554
fc23d7039d21b18e0a895c961f29a2390f86621cd1682e3849b40980c848896b,24816320,85426709,173921864.0,0.0,448764,85426709
d6370bf50880004c846893d6161b0f5baee1d79e7be8b787d775fc43714d0275,24816319,84435932,2184030946.0,2100000001.0,451783,2184030946
33cad892794b59f8146cb960c42a1c98e27a6a5ab46f1bd8388123405b4e0c13,24816318,75095505,47496512130.0,47421416625.0,234940,47496512130
63adeb3443c6751af013071b706f00a7bdd4487eee4a2533e97729a5b7369da8,24816317,68274786,5000000000.0,1.0,1000000,68274787
4ef1117efccce18fbebfc9dc20322e3a5e946f38ec414c0d0ee72011dc5bc640,24816316,72992784,149488348.0,0.0,468935,72992784
33bf3d0a487404941b6e30d9bff6e406c31b157b3e4f6d36da2b1eaf679826df,24816315,74694174,2119153681.0,2000000000.0,46504,2074694174
1aef7a7921dd39d57e6e2bdeb047c5154fae1c252041a3af181b6e3ecf1ac19e,24816314,81057323,121585984.0,0.0,314408,81057323
852d7ca58bff33a89674b8cdbb4ddd4e66396dc719118fccb3501781a12ed698,24816313,83324252,5000000000.0,1.0,1000000,83324253
